Ribs,ribs,2016-03-11 03:00:33.506019
191,134,2016-03-11 03:00:33.506019
209,105,2016-03-11 03:01:03.530894
192,134,2016-03-11 03:01:33.563619
209,106,2016-03-11 03:02:03.601583
196,131,2016-03-11 03:02:33.633609
208,111,2016-03-11 03:03:03.660966
199,126,2016-03-11 03:03:33.690791
206,116,2016-03-11 04:45:00.840832
203,120,2016-03-11 04:45:30.870793
203,123,2016-03-11 04:46:00.900980
207,109,2016-03-11 04:46:31.950895
197,132,2016-03-11 04:47:01.980830
209,106,2016-03-11 04:47:32.010744
196,132,2016-03-11 04:48:02.040846
209,105,2016-03-11 04:48:32.070821
191,134,2016-03-11 04:48:54.539568
209,105,2016-03-11 04:49:24.570971
192,134,2016-03-11 04:49:54.601570
209,106,2016-03-11 04:50:24.630901
196,131,2016-03-11 04:50:54.660955
208,111,2016-03-11 04:51:24.701584
199,126,2016-03-11 04:51:54.741666
206,116,2016-03-11 04:52:24.770842
203,120,2016-03-11 04:52:54.800939
203,123,2016-03-11 04:53:24.830851
206,113,2016-03-11 04:53:54.860796
200,128,2016-03-11 04:54:24.890804
208,108,2016-03-11 04:54:54.923619
196,132,2016-03-11 04:55:24.950901
209,105,2016-03-11 04:55:54.980827
192,134,2016-03-11 04:56:25.010848
209,105,2016-03-11 04:56:55.041606
192,134,2016-03-11 04:57:25.073583
209,106,2016-03-11 04:57:55.100881
196,131,2016-03-11 04:58:25.130822
208,111,2016-03-11 04:58:55.191084
199,126,2016-03-11 04:59:25.220969
206,116,2016-03-11 04:59:55.250849
203,120,2016-03-11 05:00:25.280796
203,123,2016-03-11 05:00:55.310795
206,113,2016-03-11 05:01:25.344209
200,128,2016-03-11 05:01:55.370898
208,108,2016-03-11 05:02:25.400821
196,132,2016-03-11 05:02:55.431159
209,105,2016-03-11 05:03:25.461605
192,134,2016-03-11 05:03:55.490841
209,105,2016-03-11 05:04:25.520974
192,134,2016-03-11 05:04:55.550815
209,106,2016-03-11 05:05:25.580841
196,131,2016-03-11 05:05:55.621130
208,111,2016-03-11 05:06:25.650844
199,126,2016-03-11 05:06:55.680842
206,116,2016-03-11 05:07:25.710809
203,120,2016-03-11 05:07:55.740849
205,118,2016-03-11 05:08:25.770791
204,118,2016-03-11 05:08:55.800833
202,124,2016-03-11 05:09:25.830850
206,112,2016-03-11 05:09:55.861612
199,130,2016-03-11 05:10:25.890899
208,107,2016-03-11 05:10:55.923601
195,133,2016-03-11 05:11:25.961686
209,105,2016-03-11 05:11:55.990790
191,135,2016-03-11 05:12:26.020790
209,105,2016-03-11 05:12:56.061140
193,133,2016-03-11 05:13:26.090836
209,107,2016-03-11 05:13:56.120897
197,130,2016-03-11 05:14:26.150852
207,112,2016-03-11 05:14:56.191086
200,124,2016-03-11 05:15:26.231145
205,118,2016-03-11 05:15:56.261148
204,118,2016-03-11 05:16:26.290793
202,124,2016-03-11 05:16:56.331135
206,112,2016-03-11 05:17:26.368397
199,130,2016-03-11 05:17:56.390852
208,107,2016-03-11 05:18:26.420841
195,133,2016-03-11 05:18:56.461663
209,105,2016-03-11 05:19:26.493641
191,135,2016-03-11 05:19:56.520879
209,105,2016-03-11 05:20:26.550824
193,133,2016-03-11 05:20:56.580790
191,134,2016-03-11 05:21:06.055211
209,105,2016-03-11 05:21:36.091162
192,134,2016-03-11 05:22:06.120979
209,106,2016-03-11 05:22:36.150796
196,131,2016-03-11 05:23:06.191088
208,111,2016-03-11 05:23:36.220851
199,126,2016-03-11 05:24:06.250857
206,116,2016-03-11 05:24:36.280798
203,120,2016-03-11 05:25:06.311144
203,123,2016-03-11 05:25:36.343906
206,113,2016-03-11 05:26:06.370825
200,128,2016-03-11 05:26:36.400828
208,108,2016-03-11 05:27:06.430785
196,132,2016-03-11 05:27:36.461656
209,105,2016-03-11 05:28:06.493477
192,134,2016-03-11 05:28:36.520901
209,105,2016-03-11 05:29:06.550824
191,134,2016-03-11 05:29:37.405775
209,105,2016-03-11 05:30:07.430851
191,134,2016-03-11 05:30:21.635907
209,105,2016-03-11 05:30:51.661283
192,134,2016-03-11 05:31:21.690827
209,106,2016-03-11 05:31:51.720783
196,131,2016-03-11 05:32:21.750786
208,111,2016-03-11 05:32:51.781951
199,126,2016-03-11 05:33:21.810889
206,116,2016-03-11 05:33:51.840841
203,120,2016-03-11 05:34:21.870792
203,123,2016-03-11 05:34:51.911136
206,113,2016-03-11 05:35:21.940828
200,128,2016-03-11 05:35:51.970890
208,108,2016-03-11 05:36:22.000794
196,132,2016-03-11 05:36:52.030817
209,105,2016-03-11 05:37:22.061144
192,134,2016-03-11 05:37:52.090852
209,105,2016-03-11 05:38:22.120839
192,134,2016-03-11 05:38:52.150785
209,106,2016-03-11 05:39:22.191083
196,131,2016-03-11 05:39:52.220968
208,111,2016-03-11 05:40:22.250852
199,126,2016-03-11 05:40:52.280796
206,116,2016-03-11 05:41:22.313551
203,120,2016-03-11 05:41:52.341582
203,123,2016-03-11 05:42:22.370903
206,113,2016-03-11 05:42:52.400829
200,128,2016-03-11 05:43:22.430791
